MODEL;DATASET;PERC_T;PERC_U;PERC_L;CV;SAMPLES;METRIC;VALUE_MEAN;VALUE_STD
RANDOM-FOREST;DIGITS;20;79.0;1.0;2;2;ACCURACY;0.6575604867560567;0.020190335194680414
RANDOM-FOREST;DIGITS;20;79.0;1.0;2;2;AUC_MACRO;0.9469345266060043;0.009574318718580752
RANDOM-FOREST;DIGITS;20;79.0;1.0;2;2;AUC_WEIGHTED;0.9457918407213325;0.010014340851381524
RANDOM-FOREST;DIGITS;20;79.0;1.0;2;2;F1_MACRO;0.6392560592899513;0.0303838242228979
RANDOM-FOREST;DIGITS;20;79.0;1.0;2;2;F1_WEIGHTED;0.633990396492869;0.03326491060305264
KMEANS-RF;DIGITS;20;79.0;1.0;2;2;ACCURACY;0.7868443317926189;0.0129690499275723
KMEANS-RF;DIGITS;20;79.0;1.0;2;2;AUC_MACRO;0.975142246837018;0.004479415109342399
KMEANS-RF;DIGITS;20;79.0;1.0;2;2;AUC_WEIGHTED;0.9741695109786754;0.0044510226554858355
KMEANS-RF;DIGITS;20;79.0;1.0;2;2;F1_MACRO;0.7822518562084189;0.0064752257668511445
KMEANS-RF;DIGITS;20;79.0;1.0;2;2;F1_WEIGHTED;0.7792716343945005;0.007589214676293376
LABEL-SPREADING;DIGITS;20;79.0;1.0;2;2;ACCURACY;0.9219841140653396;0.011000846167845444
LABEL-SPREADING;DIGITS;20;79.0;1.0;2;2;AUC_MACRO;0.9932473228382906;0.0029637759408008267
LABEL-SPREADING;DIGITS;20;79.0;1.0;2;2;AUC_WEIGHTED;0.9930773117225513;0.0030296455550140487
LABEL-SPREADING;DIGITS;20;79.0;1.0;2;2;F1_MACRO;0.923921165095033;0.010253116960869443
LABEL-SPREADING;DIGITS;20;79.0;1.0;2;2;F1_WEIGHTED;0.922844358482798;0.01084437718912248
RANDOM-FOREST;DIGITS;20;79.5;0.5;2;2;ACCURACY;0.5782426106523948;0.03679489651948125
RANDOM-FOREST;DIGITS;20;79.5;0.5;2;2;AUC_MACRO;0.9182849090382821;0.010407952291998476
RANDOM-FOREST;DIGITS;20;79.5;0.5;2;2;AUC_WEIGHTED;0.917143588966272;0.010704477469991333
RANDOM-FOREST;DIGITS;20;79.5;0.5;2;2;F1_MACRO;0.5482617820997633;0.0558536818440981
RANDOM-FOREST;DIGITS;20;79.5;0.5;2;2;F1_WEIGHTED;0.5440818267555408;0.05676055986692869
KMEANS-RF;DIGITS;20;79.5;0.5;2;2;ACCURACY;0.7468292078676608;0.050977272557393434
KMEANS-RF;DIGITS;20;79.5;0.5;2;2;AUC_MACRO;0.9590028102768102;0.013053216438088334
KMEANS-RF;DIGITS;20;79.5;0.5;2;2;AUC_WEIGHTED;0.9577860929113187;0.01390405001439034
KMEANS-RF;DIGITS;20;79.5;0.5;2;2;F1_MACRO;0.7268826242502298;0.06458702375357116
KMEANS-RF;DIGITS;20;79.5;0.5;2;2;F1_WEIGHTED;0.7239320028651122;0.06706485101476897
LABEL-SPREADING;DIGITS;20;79.5;0.5;2;2;ACCURACY;0.8906109135530402;0.02657191134723627
LABEL-SPREADING;DIGITS;20;79.5;0.5;2;2;AUC_MACRO;0.9894100110586547;0.0029879875770230982
LABEL-SPREADING;DIGITS;20;79.5;0.5;2;2;AUC_WEIGHTED;0.9891752304254546;0.0031346250563703353
LABEL-SPREADING;DIGITS;20;79.5;0.5;2;2;F1_MACRO;0.8884017846350318;0.030612324793118765
LABEL-SPREADING;DIGITS;20;79.5;0.5;2;2;F1_WEIGHTED;0.8865091624101541;0.03125928621281826
RANDOM-FOREST;DIGITS;20;79.9;0.09999999999999432;2;2;ACCURACY;0.414456585123281;0.06437368510545201
RANDOM-FOREST;DIGITS;20;79.9;0.09999999999999432;2;2;AUC_MACRO;0.8122155855239127;0.019107625400608428
RANDOM-FOREST;DIGITS;20;79.9;0.09999999999999432;2;2;AUC_WEIGHTED;0.8126586204105295;0.018796425576962653
RANDOM-FOREST;DIGITS;20;79.9;0.09999999999999432;2;2;F1_MACRO;0.38633679848237973;0.06988167677846403
RANDOM-FOREST;DIGITS;20;79.9;0.09999999999999432;2;2;F1_WEIGHTED;0.38889188797021973;0.06827596569466157
KMEANS-RF;DIGITS;20;79.9;0.09999999999999432;2;2;ACCURACY;0.6818792840686309;0.05524749052674733
KMEANS-RF;DIGITS;20;79.9;0.09999999999999432;2;2;AUC_MACRO;0.9303719036246567;0.021415968126820936
KMEANS-RF;DIGITS;20;79.9;0.09999999999999432;2;2;AUC_WEIGHTED;0.9292817555363676;0.021019234608316065
KMEANS-RF;DIGITS;20;79.9;0.09999999999999432;2;2;F1_MACRO;0.6653856001669399;0.06720454002902913
KMEANS-RF;DIGITS;20;79.9;0.09999999999999432;2;2;F1_WEIGHTED;0.663618122028724;0.06832016598127048
LABEL-SPREADING;DIGITS;20;79.9;0.09999999999999432;2;2;ACCURACY;0.857954728395415;0.029640130206861137
LABEL-SPREADING;DIGITS;20;79.9;0.09999999999999432;2;2;AUC_MACRO;0.9873115888534516;0.0024459074870876543
LABEL-SPREADING;DIGITS;20;79.9;0.09999999999999432;2;2;AUC_WEIGHTED;0.9871288069151977;0.0026216514341726046
LABEL-SPREADING;DIGITS;20;79.9;0.09999999999999432;2;2;F1_MACRO;0.8543954158936922;0.03311114954947207
LABEL-SPREADING;DIGITS;20;79.9;0.09999999999999432;2;2;F1_WEIGHTED;0.8522650897126818;0.03376963974357924
