MODEL;DATASET;PERC_T;PERC_U;PERC_L;CV;SAMPLES;METRIC;VALUE_MEAN;VALUE_STD
RANDOM-FOREST;SPAMBASE;20;79.9;0.01;2;2;ACCURACY;0.6352332142046515;0.026838517757526298
RANDOM-FOREST;SPAMBASE;20;79.9;0.01;2;2;AUC_MACRO;0.6778131567665389;0.19520004936752264
RANDOM-FOREST;SPAMBASE;20;79.9;0.01;2;2;AUC_WEIGHTED;0.6778131567665389;0.19520004936752264
RANDOM-FOREST;SPAMBASE;20;79.9;0.01;2;2;F1_MACRO;0.4398056223859423;0.05567111555620339
RANDOM-FOREST;SPAMBASE;20;79.9;0.01;2;2;F1_WEIGHTED;0.515861048603275;0.05179681860192666
NEURAL-NETWORK;SPAMBASE;20;79.9;0.01;2;2;ACCURACY;0.5505632087115703;0.11674992430245863
NEURAL-NETWORK;SPAMBASE;20;79.9;0.01;2;2;AUC_MACRO;0.5725186129154923;0.21010385198714687
NEURAL-NETWORK;SPAMBASE;20;79.9;0.01;2;2;AUC_WEIGHTED;0.5725186129154923;0.21010385198714687
NEURAL-NETWORK;SPAMBASE;20;79.9;0.01;2;2;F1_MACRO;0.4629385470327899;0.134569448336691
NEURAL-NETWORK;SPAMBASE;20;79.9;0.01;2;2;F1_WEIGHTED;0.47260534289884465;0.1578414092854503
KMEANS-RF;SPAMBASE;20;79.9;0.01;2;2;ACCURACY;0.636590032139226;0.09133005510224373
KMEANS-RF;SPAMBASE;20;79.9;0.01;2;2;AUC_MACRO;0.7101602096819136;0.19522502325512292
KMEANS-RF;SPAMBASE;20;79.9;0.01;2;2;AUC_WEIGHTED;0.7101602096819136;0.19522502325512292
KMEANS-RF;SPAMBASE;20;79.9;0.01;2;2;F1_MACRO;0.5117011212151753;0.1306197693770515
KMEANS-RF;SPAMBASE;20;79.9;0.01;2;2;F1_WEIGHTED;0.5529522817701075;0.11603333768068044
LADDER-NETWORK;SPAMBASE;20;79.9;0.01;2;2;ACCURACY;0.5190461512840245;0.034078002190965004
LADDER-NETWORK;SPAMBASE;20;79.9;0.01;2;2;AUC_MACRO;0.5010093059538236;0.004271334311937184
LADDER-NETWORK;SPAMBASE;20;79.9;0.01;2;2;AUC_WEIGHTED;0.5010093059538236;0.004271334311937184
LADDER-NETWORK;SPAMBASE;20;79.9;0.01;2;2;F1_MACRO;0.5085555716148402;0.030089875235132315
