MODEL;DATASET;PERC_T;PERC_U;PERC_L;CV;SAMPLES;METRIC;VALUE_MEAN;VALUE_STD
NEURAL-NETWORK;DIGITS;20;79.9;0.09999999999999432;2;2;ACCURACY;0.10995321510854167;0.04159821446526738
NEURAL-NETWORK;DIGITS;20;79.9;0.09999999999999432;2;2;AUC_MACRO;0.5413066429522868;0.0670467242011204
NEURAL-NETWORK;DIGITS;20;79.9;0.09999999999999432;2;2;AUC_WEIGHTED;0.542215819149185;0.06982984460872485
NEURAL-NETWORK;DIGITS;20;79.9;0.09999999999999432;2;2;F1_MACRO;0.05811612163083796;0.007927566230419375
NEURAL-NETWORK;DIGITS;20;79.9;0.09999999999999432;2;2;F1_WEIGHTED;0.05789198338854616;0.010233278195625329
LADDER-NETWORK;DIGITS;20;79.9;0.09999999999999432;2;2;ACCURACY;0.6089812502683133;0.057646248104694875
LADDER-NETWORK;DIGITS;20;79.9;0.09999999999999432;2;2;AUC_MACRO;0.9097085552436747;0.01645196753633037
LADDER-NETWORK;DIGITS;20;79.9;0.09999999999999432;2;2;AUC_WEIGHTED;0.9091497774020643;0.0162804244974978
LADDER-NETWORK;DIGITS;20;79.9;0.09999999999999432;2;2;F1_MACRO;0.5945984939790223;0.062023898027417916
LADDER-NETWORK;DIGITS;20;79.9;0.09999999999999432;2;2;F1_WEIGHTED;0.5934006146404348;0.06242746122717665
