MODEL;DATASET;PERC_T;PERC_U;PERC_L;CV;SAMPLES;METRIC;VALUE_MEAN;VALUE_STD
KMEANS-RF;CIFAR;20.0;40.0;40.0;5;10;ACCURACY;0.2943041634888241;0.007530943901129733
KMEANS-RF;CIFAR;20.0;40.0;40.0;5;10;AUC_MACRO;0.747109090175682;0.0031385344938448683
KMEANS-RF;CIFAR;20.0;40.0;40.0;5;10;AUC_WEIGHTED;0.7471885891183705;0.0033392979095197496
KMEANS-RF;CIFAR;20.0;40.0;40.0;5;10;F1_MACRO;0.26002026706387615;0.009845817706321862
KMEANS-RF;CIFAR;20.0;40.0;40.0;5;10;F1_WEIGHTED;0.2601292258778021;0.010320905116665252
KMEANS-RF;CIFAR;20.0;45.0;35.0;5;10;ACCURACY;0.2896824996534821;0.009648568360225242
KMEANS-RF;CIFAR;20.0;45.0;35.0;5;10;AUC_MACRO;0.7437190243085005;0.0037607752997303972
KMEANS-RF;CIFAR;20.0;45.0;35.0;5;10;AUC_WEIGHTED;0.743829246705441;0.0040109018464871225
KMEANS-RF;CIFAR;20.0;45.0;35.0;5;10;F1_MACRO;0.2550542252275475;0.013258655689903226
KMEANS-RF;CIFAR;20.0;45.0;35.0;5;10;F1_WEIGHTED;0.25514729996340874;0.01396579985880417
KMEANS-RF;CIFAR;20.0;50.0;30.0;5;10;ACCURACY;0.2836172021388925;0.00867120600364718
KMEANS-RF;CIFAR;20.0;50.0;30.0;5;10;AUC_MACRO;0.74127768806977;0.004401496529004062
KMEANS-RF;CIFAR;20.0;50.0;30.0;5;10;AUC_WEIGHTED;0.7413946402618113;0.004653340941613291
KMEANS-RF;CIFAR;20.0;50.0;30.0;5;10;F1_MACRO;0.24985262534959854;0.012317485062236688
KMEANS-RF;CIFAR;20.0;50.0;30.0;5;10;F1_WEIGHTED;0.25014582942475405;0.013255475603902415
KMEANS-RF;CIFAR;20.0;55.0;25.0;5;10;ACCURACY;0.27987861999894575;0.01116362056677169
KMEANS-RF;CIFAR;20.0;55.0;25.0;5;10;AUC_MACRO;0.7388411217558057;0.0047084582014516535
KMEANS-RF;CIFAR;20.0;55.0;25.0;5;10;AUC_WEIGHTED;0.7389607787154913;0.004884529915038673
KMEANS-RF;CIFAR;20.0;55.0;25.0;5;10;F1_MACRO;0.2461851859021455;0.015450611829852823
KMEANS-RF;CIFAR;20.0;55.0;25.0;5;10;F1_WEIGHTED;0.2466406555827013;0.016142897175486323
