FOLD;SAMPLE;PERC_UNLA;MODEL;METRIC;VALUE
0;0;10;RANDOM-FOREST;F1_WEIGHTED;0.895101243956715
0;0;10;NEURAL-NETWORK;F1_WEIGHTED;0.9354402548492542
0;0;10;KMEANS-RF;F1_WEIGHTED;0.89512214976028
0;0;10;LADDER-NETWORK;F1_WEIGHTED;0.6263676106769703
0;0;10;LABEL-SPREADING;F1_WEIGHTED;0.9871214723195884
0;0;30;RANDOM-FOREST;F1_WEIGHTED;0.895101243956715
0;0;30;NEURAL-NETWORK;F1_WEIGHTED;0.9383488617714922
0;0;30;KMEANS-RF;F1_WEIGHTED;0.8917319341312566
0;0;30;LADDER-NETWORK;F1_WEIGHTED;0.7215214676701721
0;0;30;LABEL-SPREADING;F1_WEIGHTED;0.9871214723195884
0;0;50;RANDOM-FOREST;F1_WEIGHTED;0.895101243956715
0;0;50;NEURAL-NETWORK;F1_WEIGHTED;0.9185815646945807
0;0;50;KMEANS-RF;F1_WEIGHTED;0.8915158295556881
0;0;50;LADDER-NETWORK;F1_WEIGHTED;0.7222486973357083
0;0;50;LABEL-SPREADING;F1_WEIGHTED;0.9871214723195884
0;0;70;RANDOM-FOREST;F1_WEIGHTED;0.895101243956715
0;0;70;NEURAL-NETWORK;F1_WEIGHTED;0.9251666563459753
0;0;70;KMEANS-RF;F1_WEIGHTED;0.8932839792896332
0;0;70;LADDER-NETWORK;F1_WEIGHTED;0.725858712012882
0;0;70;LABEL-SPREADING;F1_WEIGHTED;0.9871214723195884
0;0;77;RANDOM-FOREST;F1_WEIGHTED;0.895101243956715
0;0;77;NEURAL-NETWORK;F1_WEIGHTED;0.9393814791826963
0;0;77;KMEANS-RF;F1_WEIGHTED;0.8872593203577162
0;0;77;LADDER-NETWORK;F1_WEIGHTED;0.73471434790387
0;0;77;LABEL-SPREADING;F1_WEIGHTED;0.9871214723195884
0;1;10;RANDOM-FOREST;F1_WEIGHTED;0.8988501828354362
0;1;10;NEURAL-NETWORK;F1_WEIGHTED;0.9409964058676606
0;1;10;KMEANS-RF;F1_WEIGHTED;0.8940314689765125
0;1;10;LADDER-NETWORK;F1_WEIGHTED;0.6775733520442241
0;1;10;LABEL-SPREADING;F1_WEIGHTED;0.9907645897490855
0;1;30;RANDOM-FOREST;F1_WEIGHTED;0.8988501828354362
0;1;30;NEURAL-NETWORK;F1_WEIGHTED;0.9427103599354643
0;1;30;KMEANS-RF;F1_WEIGHTED;0.8901834133118953
0;1;30;LADDER-NETWORK;F1_WEIGHTED;0.7112223465505593
0;1;30;LABEL-SPREADING;F1_WEIGHTED;0.9907645897490855
0;1;50;RANDOM-FOREST;F1_WEIGHTED;0.8988501828354362
0;1;50;NEURAL-NETWORK;F1_WEIGHTED;0.9123590402089019
0;1;50;KMEANS-RF;F1_WEIGHTED;0.8921553936593936
0;1;50;LADDER-NETWORK;F1_WEIGHTED;0.7342858124377158
0;1;50;LABEL-SPREADING;F1_WEIGHTED;0.9907645897490855
0;1;70;RANDOM-FOREST;F1_WEIGHTED;0.8988501828354362
0;1;70;NEURAL-NETWORK;F1_WEIGHTED;0.934669137878117
0;1;70;KMEANS-RF;F1_WEIGHTED;0.8953826766841498
0;1;70;LADDER-NETWORK;F1_WEIGHTED;0.7466457226440891
0;1;70;LABEL-SPREADING;F1_WEIGHTED;0.9907645897490855
0;1;77;RANDOM-FOREST;F1_WEIGHTED;0.8988501828354362
0;1;77;NEURAL-NETWORK;F1_WEIGHTED;0.9364672780368899
0;1;77;KMEANS-RF;F1_WEIGHTED;0.8927445517145952
0;1;77;LADDER-NETWORK;F1_WEIGHTED;0.7457358139728141
0;1;77;LABEL-SPREADING;F1_WEIGHTED;0.9907645897490855
1;0;10;RANDOM-FOREST;F1_WEIGHTED;0.9220588506039156
1;0;10;NEURAL-NETWORK;F1_WEIGHTED;0.9419466571893993
1;0;10;KMEANS-RF;F1_WEIGHTED;0.9091813812490693
1;0;10;LADDER-NETWORK;F1_WEIGHTED;0.6928341618990461
1;0;10;LABEL-SPREADING;F1_WEIGHTED;0.988142256030654
1;0;30;RANDOM-FOREST;F1_WEIGHTED;0.9220588506039156
